Country Name,Country Code,Series Name,Series Code,2015 [YR2015]
Afghanistan,AFG,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,..
Afghanistan,AFG,"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,..
Afghanistan,AFG,"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,..
Afghanistan,AFG,Adolescents out of school (% of lower secondary school age),SE.SEC.UNER.LO.ZS,..
Afghanistan,AFG,"Adolescents out of school, female (% of female lower secondary school age)",SE.SEC.UNER.LO.FE.ZS,..
Afghanistan,AFG,"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,..
Afghanistan,AFG,Age dependency ratio (% of working-age population),SP.POP.DPND,89.95409233
Afghanistan,AFG,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,4.708320454
Afghanistan,AFG,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,85.24577188
Afghanistan,AFG,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",SI.SPR.PC40.ZG,..
Afghanistan,AFG,"Annualized average growth rate in per capita real survey mean consumption or income, total population (%)",SI.SPR.PCAP.ZG,..
Afghanistan,AFG,Antiretroviral therapy coverage (% of people living with HIV),SH.HIV.ARTC.ZS,5
Afghanistan,AFG,Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV),SH.HIV.PMTC.ZS,4
Afghanistan,AFG,ARI treatment (% of children under 5 taken to a health provider),SH.STA.ARIC.ZS,61.5
Afghanistan,AFG,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,50.5
Afghanistan,AFG,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,39.39098063
Afghanistan,AFG,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,16.38996468
Afghanistan,AFG,"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,44.21905272
Afghanistan,AFG,Children out of school (% of primary school age),SE.PRM.UNER.ZS,..
Afghanistan,AFG,"Children out of school, female (% of female primary school age)",SE.PRM.UNER.FE.ZS,..
Afghanistan,AFG,"Children out of school, male (% of male primary school age)",SE.PRM.UNER.MA.ZS,..
Afghanistan,AFG,Children with fever receiving antimalarial drugs (% of children under age 5 with fever),SH.MLR.TRET.ZS,11.8
Afghanistan,AFG,Completeness of birth registration (%),SP.REG.BRTH.ZS,42.3
Afghanistan,AFG,"Completeness of birth registration, female (%)",SP.REG.BRTH.FE.ZS,41.9
Afghanistan,AFG,"Completeness of birth registration, male (%)",SP.REG.BRTH.MA.ZS,42.7
Afghanistan,AFG,"Completeness of birth registration, rural (%)",SP.REG.BRTH.RU.ZS,36
Afghanistan,AFG,"Completeness of birth registration, urban (%)",SP.REG.BRTH.UR.ZS,63.5
Afghanistan,AFG,Completeness of death registration with cause-of-death information (%),SP.REG.DTHS.ZS,..
Afghanistan,AFG,"Condom use, population ages 15-24, female (% of females ages 15-24)",SH.CON.1524.FE.ZS,..
Afghanistan,AFG,"Condom use, population ages 15-24, male (% of males ages 15-24)",SH.CON.1524.MA.ZS,..
Afghanistan,AFG,Consumption of iodized salt (% of households),SN.ITK.SALT.ZS,..
Afghanistan,AFG,"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,22.5
Afghanistan,AFG,"Contraceptive prevalence, any modern method (% of married women ages 15-49)",SP.DYN.CONM.ZS,19.8
Afghanistan,AFG,"Current education expenditure, primary (% of total expenditure in primary public institutions)",SE.XPD.CPRM.ZS,84.52097321
Afghanistan,AFG,"Current education expenditure, secondary (% of total expenditure in secondary public institutions)",SE.XPD.CSEC.ZS,84.52095795
Afghanistan,AFG,"Current education expenditure, tertiary (% of total expenditure in tertiary public institutions)",SE.XPD.CTER.ZS,68.05422211
Afghanistan,AFG,"Current education expenditure, total (% of total expenditure in public institutions)",SE.XPD.CTOT.ZS,80.40733337
Afghanistan,AFG,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,10.10534763
Afghanistan,AFG,Demand for family planning satisfied by modern methods (% of married women with demand for family planning),SH.FPL.SATM.ZS,42.2
Afghanistan,AFG,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,..
Afghanistan,AFG,Diarrhea treatment (% of children under 5 receiving oral rehydration and continued feeding),SH.STA.ORCF.ZS,40.7
Afghanistan,AFG,Diarrhea treatment (% of children under 5 who received ORS packet),SH.STA.ORTH,46.2
Afghanistan,AFG,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,5.17223978
Afghanistan,AFG,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,0.52267283
Afghanistan,AFG,Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,2.01440573
Afghanistan,AFG,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,78.3822937
Afghanistan,AFG,"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",SE.TER.CUAT.BA.FE.ZS,..
Afghanistan,AFG,"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",SE.TER.CUAT.BA.MA.ZS,..
Afghanistan,AFG,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
Afghanistan,AFG,"Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative)",SE.SEC.CUAT.LO.FE.ZS,..
Afghanistan,AFG,"Educational attainment, at least completed lower secondary, population 25+, male (%) (cumulative)",SE.SEC.CUAT.LO.MA.ZS,..
Afghanistan,AFG,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.LO.ZS,..
Afghanistan,AFG,"Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)",SE.SEC.CUAT.PO.FE.ZS,..
Afghanistan,AFG,"Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative)",SE.SEC.CUAT.PO.MA.ZS,..
Afghanistan,AFG,"Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.PO.ZS,..
Afghanistan,AFG,"Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)",SE.PRM.CUAT.FE.ZS,..
Afghanistan,AFG,"Educational attainment, at least completed primary, population 25+ years, male (%) (cumulative)",SE.PRM.CUAT.MA.ZS,..
Afghanistan,AFG,"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",SE.PRM.CUAT.ZS,..
Afghanistan,AFG,"Educational attainment, at least completed short-cycle tertiary, population 25+, female (%) (cumulative)",SE.TER.CUAT.ST.FE.ZS,..
Afghanistan,AFG,"Educational attainment, at least completed short-cycle tertiary, population 25+, male (%) (cumulative)",SE.TER.CUAT.ST.MA.ZS,..
Afghanistan,AFG,"Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)",SE.TER.CUAT.ST.ZS,..
Afghanistan,AFG,"Educational attainment, at least completed upper secondary, population 25+, female (%) (cumulative)",SE.SEC.CUAT.UP.FE.ZS,..
Afghanistan,AFG,"Educational attainment, at least completed upper secondary, population 25+, male (%) (cumulative)",SE.SEC.CUAT.UP.MA.ZS,..
Afghanistan,AFG,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.UP.ZS,..
Afghanistan,AFG,"Educational attainment, at least Master's or equivalent, population 25+, female (%) (cumulative)",SE.TER.CUAT.MS.FE.ZS,..
Afghanistan,AFG,"Educational attainment, at least Master's or equivalent, population 25+, male (%) (cumulative)",SE.TER.CUAT.MS.MA.ZS,..
Afghanistan,AFG,"Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.MS.ZS,..
Afghanistan,AFG,"Educational attainment, Doctoral or equivalent, population 25+, female (%) (cumulative)",SE.TER.CUAT.DO.FE.ZS,..
Afghanistan,AFG,"Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative)",SE.TER.CUAT.DO.MA.ZS,..
Afghanistan,AFG,"Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.DO.ZS,..
Afghanistan,AFG,Exclusive breastfeeding (% of children under 6 months),SH.STA.BFED.ZS,43.126274
Afghanistan,AFG,Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,56.69549
Afghanistan,AFG,Expenditure on secondary education (% of government expenditure on education),SE.XPD.SECO.ZS,24.3563
Afghanistan,AFG,Expenditure on tertiary education (% of government expenditure on education),SE.XPD.TERT.ZS,15.95379
Afghanistan,AFG,External health expenditure (% of current health expenditure),SH.XPD.EHEX.CH.ZS,16.44546318
Afghanistan,AFG,Female genital mutilation prevalence (%),SH.STA.FGMS.ZS,..
Afghanistan,AFG,Female headed households (% of households with a female head),SP.HOU.FEMA.ZS,1.7
Afghanistan,AFG,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.255800009
Afghanistan,AFG,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,12.50899982
Afghanistan,AFG,"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,10.24688
Afghanistan,AFG,"Government expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS,10.29234
Afghanistan,AFG,"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,..
Afghanistan,AFG,"Gross intake ratio in first grade of primary education, female (% of relevant age group)",SE.PRM.GINT.FE.ZS,87.5875
Afghanistan,AFG,"Gross intake ratio in first grade of primary education, male (% of relevant age group)",SE.PRM.GINT.MA.ZS,128.48692
Afghanistan,AFG,"Gross intake ratio in first grade of primary education, total (% of relevant age group)",SE.PRM.GINT.ZS,108.47538
Afghanistan,AFG,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,..
Afghanistan,AFG,ICT goods exports (% of total goods exports),TX.VAL.ICTG.ZS.UN,..
Afghanistan,AFG,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,0.16452402
Afghanistan,AFG,"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,9.786545074
Afghanistan,AFG,"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,64
Afghanistan,AFG,"Immunization, HepB3 (% of one-year-old children)",SH.IMM.HEPB,64
Afghanistan,AFG,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,62
Afghanistan,AFG,Income share held by fourth 20%,SI.DST.04TH.20,..
Afghanistan,AFG,Income share held by highest 10%,SI.DST.10TH.10,..
Afghanistan,AFG,Income share held by highest 20%,SI.DST.05TH.20,..
Afghanistan,AFG,Income share held by lowest 10%,SI.DST.FRST.10,..
Afghanistan,AFG,Income share held by lowest 20%,SI.DST.FRST.20,..
Afghanistan,AFG,Income share held by second 20%,SI.DST.02ND.20,..
Afghanistan,AFG,Income share held by third 20%,SI.DST.03RD.20,..
Afghanistan,AFG,Individuals using the Internet (% of population),IT.NET.USER.ZS,8.26
Afghanistan,AFG,Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,3.60912555
Afghanistan,AFG,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,..
Afghanistan,AFG,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,..
Afghanistan,AFG,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..
Afghanistan,AFG,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,..
Afghanistan,AFG,"Literacy rate, youth male (% of males ages 15-24)",SE.ADT.1524.LT.MA.ZS,..
Afghanistan,AFG,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,..
Afghanistan,AFG,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,..
Afghanistan,AFG,"Lower secondary completion rate, female (% of relevant age group)",SE.SEC.CMPT.LO.FE.ZS,..
Afghanistan,AFG,"Lower secondary completion rate, male (% of relevant age group)",SE.SEC.CMPT.LO.MA.ZS,..
Afghanistan,AFG,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,..
Afghanistan,AFG,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",SH.DYN.NCOM.ZS,35.6
Afghanistan,AFG,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, female (%)",SH.DYN.NCOM.FE.ZS,35.7
Afghanistan,AFG,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, male (%)",SH.DYN.NCOM.MA.ZS,35.4
Afghanistan,AFG,Multidimensional poverty headcount ratio (% of total population),SI.POV.MDIM,..
Afghanistan,AFG,"Multidimensional poverty headcount ratio, children (% of population ages 0-17)",SI.POV.MDIM.17,..
Afghanistan,AFG,"Multidimensional poverty headcount ratio, female (% of female population)",SI.POV.MDIM.FE,..
Afghanistan,AFG,"Multidimensional poverty headcount ratio, household (% of total households)",SI.POV.MDIM.HH,..
Afghanistan,AFG,"Multidimensional poverty headcount ratio, male (% of male population)",SI.POV.MDIM.MA,..
Afghanistan,AFG,Net intake rate in grade 1 (% of official school-age population),SE.PRM.NINT.ZS,69.8659
Afghanistan,AFG,"Net intake rate in grade 1, female (% of official school-age population)",SE.PRM.NINT.FE.ZS,57.20021
Afghanistan,AFG,"Net intake rate in grade 1, male (% of official school-age population)",SE.PRM.NINT.MA.ZS,82.0002
Afghanistan,AFG,Newborns protected against tetanus (%),SH.VAC.TTNS.ZS,70
Afghanistan,AFG,Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,78.3822937
Afghanistan,AFG,"Over-age students, primary (% of enrollment)",SE.PRM.OENR.ZS,..
Afghanistan,AFG,"Over-age students, primary, female (% of female enrollment)",SE.PRM.OENR.FE.ZS,..
Afghanistan,AFG,"Over-age students, primary, male (% of male enrollment)",SE.PRM.OENR.MA.ZS,..
Afghanistan,AFG,People practicing open defecation (% of population),SH.STA.ODFC.ZS,14.44473346
Afghanistan,AFG,"People practicing open defecation, rural (% of rural population)",SH.STA.ODFC.RU.ZS,18.97010442
Afghanistan,AFG,"People practicing open defecation, urban (% of urban population)",SH.STA.ODFC.UR.ZS,0.724847658
Afghanistan,AFG,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,61.33978081
Afghanistan,AFG,"People using at least basic drinking water services, rural (% of rural population)",SH.H2O.BASW.RU.ZS,52.98850202
Afghanistan,AFG,"People using at least basic drinking water services, urban (% of urban population)",SH.H2O.BASW.UR.ZS,86.65894072
Afghanistan,AFG,People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,42.62602284
Afghanistan,AFG,"People using at least basic sanitation services, rural (% of rural population)",SH.STA.BASS.RU.ZS,38.08948507
